,Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,NZDep2018
99,4,1.0,"40 Freeland Avenue Mount Roskill, Auckland",701.0,1000000,-36.915799799999995,174.73439419999997,7007615,42,33,24,18,12,21,Mount Roskill,150,9.0
100,4,2.0,"121 Harbourside Drive Karaka, Auckland",826.0,980000,-37.0678773,174.9257112,7009995,60,21,48,39,27,30,Karaka,219,1.0
101,4,2.0,"157 Harbourside Drive Karaka, Auckland",743.0,990000,-37.0650699,174.92475890000003,7009995,60,21,48,39,27,30,Karaka,219,1.0
102,3,1.0,"56a Orion Street Papakura, Auckland",272.0,680000,-37.07187879999999,174.9563186,7010203,99,48,30,21,24,15,Papakura,240,10.0
103,6,2.0,"58a Coxhead Road Manurewa, Auckland",672.0,1030000,-37.031105100000005,174.89252319999997,7009684,57,51,18,15,21,15,Manurewa,183,9.0
104,3,2.0,"31 West Lynn Road Titirangi, Auckland",772.0,920000,-36.921876700000006,174.6646886,7007317,57,15,24,27,30,36,Titirangi,183,4.0
105,3,1.0,"79 Wellington Street Pukekohe, Auckland",318.0,600000,-37.2096583,174.8966255,7010504,45,42,18,33,27,33,Pukekohe,201,7.0
106,4,2.0,"28 Weldene Avenue Glenfield, Auckland",895.0,920000,-36.774209899999995,174.72523030000002,7002758,18,18,18,15,12,24,Glenfield,99,6.0
107,9,5.0,"54 Central Avenue Papatoetoe, Auckland",2028.0,1350000,-36.975488299999995,174.8644449,7008648,39,27,21,15,21,21,Papatoetoe,147,9.0
108,3,1.0,"199 Balmoral Road Mount Eden, Auckland",371.0,900000,-36.8864339,174.74586090000003,7005199,57,33,36,30,18,15,Mount Eden,186,6.0
109,2,2.0,"312-1 Kimiora Street Three Kings, Auckland",93.0,920000,-36.904282200000004,174.7588224,7005473,0,12,0,0,0,0,Three Kings,30,7.0
110,3,2.0,"34 Kimiora Street Three Kings, Auckland",286.0,1340000,-36.9036375,174.75841880000002,7005473,0,12,0,0,0,0,Three Kings,30,7.0
111,3,1.0,"6 Larch Street Avondale, Auckland",429.0,850000,-36.900007099999996,174.6938496,7004415,33,27,30,15,21,21,Avondale,153,6.0
112,3,1.0,"58 Arodella Crescent Ranui, Auckland",623.0,630000,-36.8574435,174.60012680000003,7003539,60,30,18,15,15,27,Ranui,171,10.0
113,6,2.0,"264 Sunset Road Sunnynook, Auckland",479.0,1325000,-36.7502525,174.7350724,7002875,51,48,45,27,30,24,Windsor Park,222,4.0
114,3,2.0,"53a Landscape Road Mount Eden, Auckland",113.0,1140000,-36.898097799999995,174.75660459999997,7005463,30,72,24,18,21,15,Mount Eden,174,5.0
115,4,2.0,"15a Forrest Hill Road Milford, Auckland",469.0,1745000,-36.7781846,174.7508405,7003086,63,36,42,30,30,18,Milford,216,4.0
116,3,1.0,"35 Grand View Road Leigh, Auckland",898.0,740000,-36.2986271,174.79864840000002,7001158,18,6,9,12,27,48,Leigh,117,5.0
117,3,2.0,"10 Barrister Avenue Mount Roskill, Auckland",370.0,1120000,-36.906797999999995,174.7543779,7005250,63,18,21,12,6,18,Mount Roskill,129,10.0
118,3,2.0,"4/61 Birdwood Avenue Papatoetoe, Auckland",120.0,580000,-36.9779943,174.8681825,7008656,42,42,30,24,21,21,Papatoetoe,186,7.0
119,3,1.0,"66d Woodglen Road Glen Eden, Auckland",422.0,670000,-36.915067,174.6456471,7007252,48,9,15,30,12,21,Glen Eden,144,6.0
120,4,3.0,"68 Glen Marine Parade Glendene, Auckland",868.0,800000,-36.8820848,174.6567039,7004220,45,27,33,24,15,30,Glendene,180,8.0
121,3,1.0,"7 Le Havre Place Takanini, Auckland",880.0,580000,-37.039314000000005,174.92106299999998,7009970,33,51,24,15,12,24,Takanini,150,9.0
122,4,2.0,"152 Grey Street Onehunga, Auckland",690.0,1175000,-36.9175628,174.7935673,7007983,66,33,48,36,27,33,Onehunga,237,5.0
123,4,3.0,"1 Taupinga Way Takanini, Auckland",238.0,800000,-37.0443323,174.927343,7010024,60,66,72,27,21,9,Takanini,249,3.0
124,4,2.0,"60 Hill Street Onehunga, Auckland",569.0,1325000,-36.920718,174.78031869999998,7007906,21,21,15,18,27,27,Onehunga,132,8.0
125,4,2.0,"181 Drury Hills Road Drury, Auckland",8000.0,1510000,-37.116236900000004,174.978964,7010270,39,27,18,27,45,69,Drury,219,1.0
126,4,3.0,"115 Macwhinney Drive Drury, Auckland",8129.0,1620000,-37.1206153,174.9833398,7010270,39,27,18,27,45,69,Drury,219,1.0
127,3,1.0,"34 Queensway Three Kings, Auckland",447.0,1360000,-36.9069089,174.76022849999998,7005474,51,36,18,24,27,36,Three Kings,189,4.0
128,4,2.0,"7 Caram Place Birkenhead, Auckland",744.0,920000,-36.807162,174.71120390000002,7002670,36,15,30,21,21,3,Birkenhead,129,2.0
129,3,1.0,"5 Charlotte Street Stanmore Bay, Auckland",630.0,870000,-36.6246599,174.7297045,7001611,72,27,18,30,33,30,Stanmore Bay,213,4.0
130,3,1.0,"275 Puhinui Road Papatoetoe, Auckland",415.0,660000,-36.991306200000004,174.84849640000002,7009392,45,45,30,21,18,24,Papatoetoe,183,8.0
131,3,1.0,"1/25 Abraham Place St Johns, Auckland",93.0,850000,-36.8736688,174.8480004,7006441,36,27,42,21,6,15,Saint Johns,147,6.0
132,3,2.0,"35 Birkdale Road Birkdale, Auckland",804.0,1050000,-36.8046583,174.7047238,7002550,30,36,33,21,24,18,Birkdale,162,3.0
133,2,1.0,"51 Clarence Street Ponsonby, Auckland",323.0,1625000,-36.8481167,174.73943,7004881,39,33,27,33,33,21,Ponsonby,186,5.0
134,3,2.0,"3 Fallsbrook Lane Mangere Bridge, Auckland",810.0,1625000,-36.9469952,174.77865680000002,7007923,39,18,36,18,24,51,Mangere Bridge,189,4.0
135,3,2.0,"34 Parry Road Mount Wellington, Auckland",728.0,910000,-36.933223100000006,174.84677019999998,7008462,15,30,21,12,9,15,Mount Wellington,93,8.0
136,4,3.0,"8 Wawatai Drive Karaka, Auckland",580.0,1175000,-37.0800841,174.9260771,7010002,81,15,51,45,21,36,Karaka,249,1.0
137,2,2.0,"2/18 Cleary Road Panmure, Auckland",140.0,790000,-36.9011618,174.8510364,7006467,21,39,21,12,9,9,Panmure,108,8.0
